id,name,money,details
1,Amazonプライム,500,Amazonのプライム会員になれば配送料が無料、日時指定便やお急ぎ便の利用も無料に。その他、映画やドラマ、アニメが見放題の「Prime Video」や音楽聞き放題の「Prime Music」などAmazon関連のサービスが利用できるようになります。
2,Spotify,980,聴き放題になる定額音楽配信サービス。
3,Spotify(学生),480,聴き放題になる定額音楽配信サービス。
4,Spotifyファミリープラン,1480,聴き放題になる定額音楽配信サービス。
5,Apple Music,980,Appleが提供する音楽配信サービス。
6,Apple Music(学生),480,Appleが提供する音楽配信サービス。
7,Hulu,1026,"定額制動画サービスの中でも『hulu』は屈指の作品数。60,000本の作品が視聴し放題。スマホやPC、タブレットなど様々な機器で視聴できます。"
8,Netflix,800,定額制動画サービス。
9,YouTube Premium,1180,広告非表示やバックグラウンド再生など、『YouTube』をより便利に使うための定額サービス。
10,Kindle Unlimited,980,和書12万冊以上、洋書120万冊以上、コミック3万冊以上の電子書籍を定額読み放題サービス
11,角川文庫・ラノベ　読み放題,760,"KADOKAWAグループの電子書籍ストア『BOOK☆WALKER』がサブスクリプションサービスを展開。「ソードアート・オンライン」「この素晴らしい世界に祝福を！」など10,000冊以上が、月額760円で読み放題です。"
12,dマガジン,400,『dマガジン』は芸能週刊誌やファッション誌、ホビー誌など……雑誌を定額で好きなだけ読めるサービスです。
13,楽天マガジン,380,250誌以上を取り扱う『楽天マガジン』は、アウトドアやライフスタイルなど趣味系の雑誌がたくさん揃っている定額読み放題サービスです。
14,Apple Arcade,600,Appleが展開するゲームのサブスクリプションサービス。月額600円で100作品以上の専用タイトルが遊び放題
15,PlayStation Now,1180,"PS4＆PS3の作品を対応デバイスからストリーミング経由でプレイし放題。2,980円/3ヶ月、6,980円/12ヶ月"
16,PlayStation Plus,850,"PS4のオンラインマルチプレイで必須のほか、加入中であれば追加料金なしで人気ゲームを遊べるフリープレイや加入者限定割引、オンラインストレージの利用などおトクなサービス多数。2,150円/3ヶ月、5,143円/12ヶ月"
17,Nintendo Switch Online,306,"Nintendo Switch用のサブスクリプション。サービス内容は『PlayStation Plus』に近く、オンラインプレイや加入者限定ソフトの『TETRIS 99』、『スーパーファミコン Nintendo Switch Online』などが遊べます。815円/3ヶ月、2,400円/12ヶ月"
18,Origin Access,518,"「バトルフィールドV」や「The Sims 4」など、名作タイトルのPCゲームが定額で遊び放題のサービス。1年3,002円"
19,Pairs,3590,恋人を探せる会員数1000万人のマッチングアプリ。かつての出会い系はメール1通100円など、メール1通単位の課金が多かったですが、Pairsに代表される最近のマッチングアプリは月額課金でメッセージし放題です。
20,MECHAKARI,5800,洋服レンタルのサブスクリプションサービスは他にもありますが『MECHAKARI』でレンタルできるのは全て「新作新品」のアイテム。洋服の返却期間はなく、何度でも借りることが可能です。
21,leeap,7800,メンズ専用のファッションレンタル
22,YClean,8800,レンタルできるのは1ヶ月分のワイシャツ。もちろん自分でクリーニングする必要もなく、使い終わったら返却するだけのサブスクリプションサービス
23,GooPass,5800,およそ600種類のカメラ機材が入れ替え交換利用し放題のサービスです。一式揃えようとすると、結構な値段になるカメラ機材。
24,ゼロcafe,3980,"ノマドワーカーにとってありがたい電源・Wi-Fiを使えるカフェを、月額3,980円で利用できるサブスクリプションサービスが『ゼロcafe』です。"
25,OFFICE PASS,15258,カフェではないきっちりしたオフィスを使えるのは魅力